Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_Per_Ha_INR,Cost_Per_Ha_INR,Revenue_Per_Ha_INR
SF10001,Andhra Pradesh,Rajkot,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91.0,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810.0,-11852.0,237,5.485,55.3,-22362.26,80494.34,58132.08
SF10002,Maharashtra,Nalgonda,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32.0,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401.0,-451950.0,4953,0.396,49.9,-69211.33,75398.32,6186.98
SF10003,Telangana,Warangal,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466.0,-124744.0,1275,1.984,33.7,-25667.49,64858.02,39190.53
SF10004,Telangana,Indore,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740.0,-95704.0,3834,2.16,50.6,-21267.56,65876.44,44608.89
SF10005,Karnataka,Ludhiana,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69.0,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607.0,-144352.0,3287,2.829,32.3,-34287.89,80275.3,45987.41
SF10006,Gujarat,Raichur,Pulses,Zaid,5.46,356.0,33.6,49.0,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570.0,-32763.0,1093,3.596,57.1,-6000.55,55372.34,49371.79
SF10007,Telangana,Warangal,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102.0,-41239.0,2368,8.687,31.6,-5072.45,63141.57,58069.13
SF10008,Tamil Nadu,Ludhiana,Pulses,Kharif,5.34,860.2,29.0,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265.0,5065.0,1704,3.697,54.2,948.5,81685.39,82633.9
SF10009,Karnataka,Guntur,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834.0,230705.0,5079,2.103,54.7,33052.29,75233.38,108285.67
SF10010,Tamil Nadu,Raichur,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907.0,1954835.0,5984,5.239,41.7,142792.91,73343.46,216136.38
SF10011,Maharashtra,Krishna,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70.0,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857.0,-148902.0,2371,2.855,33.5,-31681.28,61650.85,29969.57
SF10012,Telangana,Rajkot,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097.0,-579415.0,7467,2.563,35.0,-41180.88,68550.96,27370.08
SF10013,Punjab,Indore,Wheat,Rabi,6.04,431.5,24.1,59.8,9.0,8.23,27.0,162.3,60.1,113.0,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063.0,-293090.0,1411,1.283,49.6,-48524.83,55488.91,6964.07
SF10014,Gujarat,Indore,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880.0,143249.0,1556,8.843,50.6,13642.76,81202.95,94845.71
SF10015,Punjab,Indore,Rice,Kharif,4.38,762.0,25.0,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809.0,28876.0,3404,4.271,43.6,6592.69,65509.82,72102.51
SF10016,Andhra Pradesh,Warangal,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15.0,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641.0,-44486.0,1455,4.983,29.7,-19684.07,80587.17,60903.1
SF10017,Telangana,Indore,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654.0,32898.0,4210,0.933,32.3,8370.99,55663.1,64034.1
SF10018,Maharashtra,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819.0,-386046.0,3453,4.923,43.0,-34967.93,65929.8,30961.87
SF10019,Punjab,Nalgonda,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165.0,42258.0,1220,2.279,53.1,17178.05,58498.78,75676.83
SF10020,Madhya Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193.0,-24738.0,4803,3.317,27.3,-1708.43,77757.67,76049.24
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044.0,-27178.0,1814,0.838,45.8,-28608.42,61286.32,32677.89
SF10022,Punjab,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468.0,-169447.0,8350,1.616,47.7,-30150.71,76141.46,45990.75
SF10023,Andhra Pradesh,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191.0,-439066.0,6064,2.596,32.0,-34874.19,65151.47,30277.28
SF10024,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169.0,-13170.0,1713,1.57,41.6,-5289.16,74834.94,69545.78
SF10025,Telangana,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012.0,-295916.0,3869,8.602,64.0,-20450.31,83201.66,62751.35
SF10026,Gujarat,Indore,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007.0,-669858.0,5584,0.715,75.8,-50365.26,75102.63,24737.37
SF10027,Madhya Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116.0,288207.0,17866,2.24,56.2,20884.57,53978.91,74863.48
SF10028,Punjab,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987.0,2534.0,9077,2.826,45.7,242.02,52096.75,52338.78
SF10029,Tamil Nadu,Rajkot,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,24.2,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594.0,-387384.0,8230,4.733,32.1,-29936.94,90956.57,61019.63
SF10030,Tamil Nadu,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541.0,566978.0,7423,3.437,30.6,43116.2,52894.52,96010.72
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075.0,1107329.0,4721,3.825,40.2,92586.04,61768.06,154354.1
SF10032,Madhya Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373.0,-32058.0,259,0.811,37.4,-46460.87,62943.48,16482.61
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533.0,-258838.0,9585,0.757,67.7,-22805.11,68931.37,46126.26
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864.0,1362.0,5884,6.079,52.1,138.98,79847.14,79986.12
SF10035,Madhya Pradesh,Ludhiana,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643.0,508816.0,5400,8.206,61.4,43977.18,56078.39,100055.57
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409.0,-156884.0,5944,0.89,29.0,-22253.05,72523.83,50270.78
SF10037,Tamil Nadu,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747.0,34972.0,1780,2.989,33.0,11245.02,78384.24,89629.26
SF10038,Andhra Pradesh,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490.0,-46266.0,3058,0.638,52.5,-16582.8,62994.98,46412.19
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877.0,-176691.0,2392,1.923,50.0,-37673.99,62594.46,24920.47
SF10040,Tamil Nadu,Ludhiana,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416.0,168706.0,2144,9.249,46.7,27566.34,52566.99,80133.33
SF10041,Karnataka,Indore,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428.0,-440089.0,6153,0.6,54.7,-35750.53,64298.7,28548.17
SF10042,Maharashtra,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925.0,-381563.0,7377,3.058,17.1,-28581.5,67227.57,38646.07
SF10043,Karnataka,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948.0,-528671.0,7926,1.075,52.0,-55825.87,78629.25,22803.38
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,24.95,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278.0,-60898.0,4545,4.326,44.7,-8055.29,72774.6,64719.31
